FILE HAND1. 2013-4-26|18:47
FRAMENO, X, Y, Z
4971, 6, 2, 550)
4972, 25, 11, 547)
4973, 67, 32, 545)
4974, 124, 63, 544)
4975, 171, 90, 545)
4976, 200, 106, 544)
4977, 213, 113, 545)
4978, 216, 115, 544)
4979, 214, 114, 544)
4980, 210, 112, 545)
4981, 204, 109, 545)
4982, 200, 107, 546)
4983, 195, 105, 545)
4984, 192, 103, 545)
4985, 190, 102, 546)
4986, 189, 102, 544)
4987, 189, 101, 545)
4988, 188, 101, 545)
4989, 188, 101, 545)
4990, 188, 101, 544)
4991, 189, 101, 546)
4992, 188, 101, 545)
4993, 188, 101, 544)
4994, 188, 101, 545)
4995, 189, 101, 545)
4996, 189, 101, 546)
4997, 189, 101, 544)
4998, 190, 102, 544)
4999, 191, 102, 543)
5000, 191, 102, 544)
5001, 191, 102, 544)
5002, 191, 102, 544)
5003, 191, 102, 544)
5004, 190, 102, 543)
5005, 191, 102, 544)
5006, 191, 101, 542)
5007, 191, 99, 540)
5008, 190, 97, 539)
5009, 189, 95, 538)
5010, 184, 93, 537)
5011, 173, 95, 526)
5012, 161, 105, 511)
5013, 158, 123, 497)
5014, 166, 151, 485)
5015, 186, 183, 474)
5016, 217, 212, 471)
5017, 242, 232, 0)
5018, 244, 239, 466)
5019, 220, 231, 464)
5020, 183, 208, 471)
5021, 144, 171, 482)
5022, 115, 125, 494)
5023, 104, 78, 497)
5024, 113, 43, 499)
5025, 140, 24, 500)
5026, 174, 30, 491)
5027, 212, 58, 482)
5028, 245, 100, 474)
5029, 266, 144, 467)
5030, 265, 183, 0)
5031, 244, 212, 0)
5032, 210, 230, 0)
5033, 178, 237, 457)
5034, 161, 242, 0)
5035, 167, 249, 0)
5036, 190, 259, 0)
5037, 220, 276, 0)
5038, 253, 299, 0)
5039, 289, 325, 0)
5040, 329, 348, 0)
5041, 365, 366, 0)
5042, 384, 376, 0)
5043, 377, 380, 0)
5044, 343, 373, 0)
5045, 291, 350, 0)
5046, 235, 313, 0)
5047, 187, 264, 456)
5048, 159, 204, 469)
5049, 153, 159, 480)
5050, 181, 128, 496)
5051, 211, 116, 517)
5052, 235, 113, 525)
5053, 252, 115, 526)
5054, 260, 120, 526)
5055, 264, 124, 526)
5056, 264, 129, 526)
5057, 263, 133, 526)
5058, 261, 136, 526)
5059, 260, 138, 526)
5060, 258, 139, 526)
5061, 257, 140, 525)
5062, 256, 140, 526)
5063, 256, 141, 526)
5064, 255, 142, 525)
5065, 255, 142, 525)
5066, 255, 141, 526)
5067, 255, 140, 525)
5068, 255, 140, 526)
5069, 255, 140, 526)
5070, 255, 140, 525)
5071, 255, 141, 526)
5072, 255, 141, 525)
5073, 255, 142, 525)
5074, 255, 142, 525)
5075, 256, 142, 526)
5076, 257, 142, 526)
5077, 256, 141, 526)
5078, 257, 141, 526)
5079, 258, 141, 527)
5080, 259, 141, 526)
5081, 259, 141, 526)
5082, 258, 141, 526)
5083, 257, 141, 526)
5084, 257, 141, 526)
5085, 257, 142, 526)
5086, 256, 142, 526)
5087, 256, 141, 526)
5088, 256, 141, 526)
5089, 255, 141, 525)
5090, 255, 141, 526)
5091, 255, 141, 526)
5092, 255, 141, 526)
5093, 255, 140, 526)
5094, 255, 140, 525)
5095, 255, 140, 525)
5096, 255, 140, 526)
5097, 255, 140, 526)
5098, 255, 140, 525)
5099, 256, 140, 526)
5100, 256, 140, 526)
5101, 256, 140, 526)
5102, 256, 140, 526)
5103, 256, 140, 526)
5104, 256, 141, 525)
5105, 256, 141, 525)
5106, 256, 141, 525)
5107, 255, 141, 525)
5108, 255, 141, 526)
5109, 255, 140, 526)
5110, 256, 140, 527)
5111, 256, 141, 526)
5112, 256, 141, 526)
5113, 257, 141, 526)
5114, 257, 141, 526)
5115, 257, 141, 527)
5116, 257, 142, 526)
5117, 257, 143, 526)
5118, 257, 143, 527)
5119, 257, 143, 527)
5120, 257, 143, 526)
5121, 256, 143, 526)
5122, 256, 142, 526)
5123, 249, 140, 520)
5124, 240, 136, 514)
5125, 226, 117, 521)
5126, 218, 87, 526)
5127, 216, 55, 530)
5128, 215, 32, 533)
5129, 215, 19, 528)
5130, 213, 14, 527)
5131, 217, 15, 517)
5132, 221, 18, 517)
5133, 221, 22, 517)
5134, 215, 29, 517)
5135, 209, 42, 517)
5136, 206, 56, 514)
5137, 202, 68, 514)
5138, 197, 75, 521)
5139, 196, 78, 521)
5140, 190, 79, 522)
5141, 182, 79, 516)
5142, 168, 76, 511)
5143, 146, 71, 514)
5144, 120, 64, 517)
5145, 95, 59, 523)
5146, 76, 56, 525)
5147, 67, 56, 526)
5148, 66, 57, 527)
5149, 78, 58, 518)
5150, 102, 67, 511)
5151, 135, 84, 520)
5152, 164, 102, 534)
5153, 180, 112, 536)
5154, 190, 117, 536)
5155, 193, 120, 537)
5156, 192, 120, 537)
5157, 189, 119, 537)
5158, 186, 118, 537)
5159, 184, 116, 537)
5160, 182, 115, 537)
5161, 181, 114, 536)
5162, 181, 108, 529)
5163, 180, 95, 527)
5164, 184, 75, 531)
5165, 192, 54, 537)
5166, 203, 38, 540)
5167, 212, 28, 536)
5168, 219, 24, 529)
5169, 222, 26, 507)
5170, 223, 31, 0)
5171, 221, 42, 0)
5172, 216, 56, 0)
5173, 209, 70, 0)
5174, 203, 81, 0)
5175, 199, 87, 0)
5176, 197, 90, 0)
5177, 196, 89, 0)
5178, 195, 84, 0)
5179, 194, 75, 0)
5180, 197, 62, 0)
5181, 201, 50, 0)
5182, 204, 41, 0)
5183, 204, 33, 0)
5184, 202, 26, 0)
5185, 202, 21, 0)
5186, 207, 16, 0)
5187, 217, 8, 0)
5188, 113, 1, 0)
5189, 170, 113, 546)
5190, 217, 189, 547)
5191, 248, 235, 546)
5192, 263, 266, 543)
5193, 275, 274, 547)
5194, 273, 285, 540)
5195, 274, 276, 546)
5196, 272, 278, 540)
5197, 264, 287, 534)
5198, 272, 279, 543)
5199, 259, 294, 568)
5200, 284, 271, 550)
5201, 340, 189, 594)
5202, 412, 106, 0)
5203, 494, 75, 0)
5204, 570, 82, 0)
5205, 619, 118, 0)
5206, 646, 160, 0)
5207, 653, 186, 0)
5208, 643, 204, 0)
5209, 631, 214, 0)
5210, 620, 218, 0)
5211, 610, 220, 0)
5212, 603, 218, 0)
5213, 598, 217, 0)
5214, 595, 215, 0)
5215, 594, 213, 0)
5216, 593, 212, 0)
5217, 593, 210, 0)
5218, 593, 210, 0)
5219, 593, 209, 0)
5220, 594, 209, 0)
5221, 595, 208, 0)
5222, 595, 209, 0)
5223, 595, 209, 0)
5224, 595, 209, 0)
5225, 595, 209, 0)
5226, 595, 209, 0)
5227, 595, 209, 0)
5228, 594, 209, 0)
5229, 594, 210, 0)
5230, 592, 212, 0)
5231, 590, 214, 0)
5232, 588, 215, 0)
5233, 587, 217, 0)
5234, 586, 218, 0)
5235, 584, 220, 554)
5236, 582, 222, 554)
5237, 580, 223, 554)
5238, 579, 224, 554)
5239, 579, 225, 554)
5240, 579, 224, 553)
5241, 581, 222, 554)
5242, 582, 222, 554)
5243, 582, 221, 554)
5244, 582, 221, 553)
5245, 582, 221, 553)
